編號,案類,發生(現)日期,發生時段,發生(現)地點
50,汽車竊盜,1040517,10~12,台北市北投區中和里復興四路1~30號
51,汽車竊盜,1040518,13~15,台北市大同區建明里承德路一段1~30號
52,汽車竊盜,1040519,13~15,台北市信義區長春里松山路249巷1~30號
53,汽車竊盜,1040521,19~21,台北市內湖區石潭里潭美街
54,汽車竊盜,1040524,01~03,台北市內湖區東湖里東湖路91~120號
55,汽車竊盜,1040524,22~24,台北市信義區敦厚里永吉路120巷
56,汽車竊盜,1040525,07~09,台北市南港區百福里福德街339巷7弄口
57,汽車竊盜,1040525,16~18,台北市文山區興泰里辛亥路四段106巷底
58,汽車竊盜,1040525,19~21,台北市文山區明義里興隆路四段46巷31~60號
59,汽車竊盜,1040526,01~03,台北市信義區黎平里和平東路三段391巷20弄1~30號
60,汽車竊盜,1040526,22~24,台北市信義區四育里松隆路271~300號
61,汽車竊盜,1040528,22~24,台北市信義區雅祥里市民大道六段松隆路123巷口
62,汽車竊盜,1040531,19~21,台北市北投區立賢里承德路七段304巷1~30號
63,汽車竊盜,1040613,19~21,台北市中山區民族東路與松江路口
64,汽車竊盜,1040616,10~12,台北市中正區河堤里金門街附近
65,汽車竊盜,1040616,13~15,台北市北投區湖山里紗帽路與建國街口
66,汽車竊盜,1040627,19~21,台北市北投區建民里文林北路80巷90弄31~60號
67,汽車竊盜,1040628,16~18,台北市南港區玉成里南港路三段130巷3弄1~30號
68,汽車竊盜,1040715,22~24,台北市南港區玉成里南港路三段149巷
69,汽車竊盜,1040719,01~03,台北市文山區老泉里老泉街北二高涵洞下方
70,汽車竊盜,1040720,19~21,台北市中正區西藏路61~90號
71,汽車竊盜,1040723,01~03,台北市信義區三犁里信義路五段121~150號
72,汽車竊盜,1040731,10~12,台北市萬華區環河南路三段181~210號
73,汽車竊盜,1040801,04~06,台北市北投區立賢里承德路七段342巷口
74,汽車竊盜,1040807,07~09,台北市大同區朝陽里南京西路301~330號
75,汽車竊盜,1040809,01~03,台北市文山區萬芳里萬美街一段31~60號
76,汽車竊盜,1040814,04~06,台北市北投區一德里中央北路四段31~60號
77,汽車竊盜,1040824,07~09,台北市士林區福佳里中正路361~390號
78,汽車竊盜,1040827,01~03,台北市士林區福順里重慶北路四段121~150號
79,汽車竊盜,1040827,07~09,台北市南港區玉成里松河街301~330號
80,汽車竊盜,1040831,22~24,台北市中山區中山北路二段42巷內
81,汽車失竊,1040901,01~03,台北市北投區豐年里大業路601~630號
82,汽車失竊,1040901,10~12,台北市北投區大同里北投路二段與中央南路口
83,汽車失竊,1040921,07~09,台北市中正區南福里南昌路二段31~60號
84,汽車失竊,1040923,19~21,台北市萬華區艋舺大道長順街口
85,汽車失竊,1040925,10~12,台北市萬華區康定路287巷
86,汽車失竊,1040927,10~12,台北市萬華區雙園河濱公園
87,汽車失竊,1041004,01~03,台北市文山區萬和里溪洲街31~60號
88,汽車失竊,1041005,10~12,台北市信義區雅祥松信路31~60號
89,汽車失竊,1041009,22~24,台北市信義區雅祥里松信路31~60號前
90,汽車失竊,1041013,07~09,台北市大同區至聖里承德路三段208巷1~30號
91,汽車失竊,1041014,01~03,台北市大安區黎和里6鄰和平東路三段636巷
92,汽車失竊,1041020,13~15,台北市南港區新光里忠孝東路七段391~420號
93,汽車失竊,1041102,10~12,台北市北投區稻香里秀山路外交部宿舍車道口對面
94,汽車失竊,1041107,01~03,台北市士林區福安里延平北路七段31~60號
95,汽車失竊,1041121,16~18,台北市士林區富光里葫蘆街54巷1~30號
96,汽車失竊,1041124,07~09,台北市南港區新富里研究院路一段101巷內
97,汽車竊盜,1041129,10~12,台北市萬華區中華路1段76巷1 ~ 30號
98,汽車竊盜,1041208,07~09,台北市內湖區潭美街潭美街上編號154停車格
99,汽車竊盜,1041208,10~12,台北市北投區關渡里知行路331~360號
100,汽車竊盜,1041213,07~09,台北市北投區中央里大業路與大興街口
101,汽車竊盜,1041217,22~24,台北市內湖區內湖路一段91巷39弄1~30號
102,汽車竊盜,1041220,04~06,台北市北投區稻香里稻香路108巷對面政戰學校外防汛道路
103,汽車竊盜,1041221,10~12,台北市士林區福佳里基河路361~390號
104,汽車竊盜,1041225,07~09,台北市北投區豐年里大業路527巷31~60號
105,汽車竊盜,1041226,16~18,台北市北投區洲美里承德路六段421~450號
106,汽車竊盜,1050101,01~03,台北市中山區德惠街167巷31~60號
107,汽車竊盜,1050112,07~09,台北市士林區天和里天母東路91~120號
108,汽車竊盜,1050112,19~21,台北市中正區螢圃里重慶南路三段61~90號
109,汽車竊盜,1050116,07~09,台北市大安區建安里敦化南路一段161巷69弄1~30號
110,汽車竊盜,1050118,07~09,台北市士林區社園里通河西街二段121~150號
111,汽車竊盜,1050120,04~06,台北市北投區榮華里9鄰榮華二路1~30號
112,汽車竊盜,1050120,04~06,台北市松山區光復北路230巷
113,汽車竊盜,1050124,13~15,台北市內湖區碧山路1~30號
114,汽車竊盜,1050128,04~06,台北市北投區大同里大業路361~390號
115,汽車竊盜,1050205,10~12,台北市松山區南京東路四段52巷
116,汽車竊盜,1050216,01~03,台北市中正區頂東里師大路121~150號
117,汽車竊盜,1050217,01~03,台北市大安區福住里1鄰新生南路二段30巷1~30號
118,汽車竊盜,1050220,19~21,台北市北投區建民里文林北路80巷3弄口
119,汽車竊盜,1050222,01~03,台北市中正區河堤里金門街34巷對面
120,汽車竊盜,1050224,01~03,台北市士林區德華里文林路740巷
121,汽車竊盜,1050225,07~09,台北市大同區雙連里錦西街52巷
122,汽車竊盜,1050228,13~15,台北市北投區泉源里東昇路31~60號
123,汽車竊盜,1050301,10~12,台北市大同區雙連里錦西街52巷1~30號
124,汽車竊盜,1050304,01~03,台北市南港區新富里研究院路一段101巷1~30號
125,汽車竊盜,1050307,10~12,台北市萬華區大理路160巷19弄1 ~ 30號
126,汽車竊盜,1050311,19~21,台北市北投區稻香路91 ~ 120號
127,汽車竊盜,1050312,01~03,台北市內湖區新明路121~150號
128,汽車竊盜,1050312,01~03,台北市內湖區新明路121~150號
129,汽車竊盜,1050314,01~03,台北市萬華區桂林路244巷61~90號
130,汽車竊盜,1050318,19~21,台北市松山區濱江路361~390號
131,汽車竊盜,1050319,13~15,台北市大同區老師里重慶北路三段民族西路
132,汽車竊盜,1050325,04~06,台北市萬華區環河南路三段61~90號
133,汽車竊盜,1050331,13~15,台北市萬華區桂林路246巷31~60號
134,汽車竊盜,1050421,07~09,台北市士林區永倫里延平北路六段301~330號
135,汽車竊盜,1050421,13~15,台北市士林區富洲里延平北路九段211~240號
136,汽車竊盜,1050427,13~15,台北市萬華區雁鴨河濱公園
137,汽車竊盜,1050428,07~09,台北市內湖區江南街71巷65弄1~30號
138,汽車竊盜,1050429,16~18,台北市中山區劍南路上
139,汽車竊盜,1050501,07~09,台北市北投區立農里吉利街127巷1~30號
140,汽車竊盜,1050508,10~12,台北市中山區民生東路二段147巷6弄1~30號
141,汽車竊盜,1050521,01~03,台北市北投區八仙里大度路1~30號
142,汽車竊盜,1050526,01~03,台北市萬華區西藏路211~240號
143,汽車竊盜,1050613,10~12,台北市萬華區華江雁鴨河濱公園
144,汽車竊盜,1050627,01~03,台北市萬華區雁鴨河濱公園
145,汽車竊盜,1050627,19~21,台北市松山區富錦街77巷2弄
146,汽車竊盜,1050627,19~21,台北市松山區富錦街77巷2弄
147,汽車竊盜,1050630,10~12,台北市士林區天母里15鄰天玉街81巷1~30號
148,汽車竊盜,1050706,16~18,台北市士林區福安里延平北路七段1 ~ 30號
149,汽車竊盜,1050713,07~09,台北市北投區智仁里中和街391 ~ 420號
150,汽車竊盜,1050715,13~15,台北市北投區一德里中央北路四段515巷1 ~ 30號
151,汽車竊盜,1050716,07~09,台北市文山區萬祥里景隆街1巷口
152,汽車竊盜,1050722,07~09,台北市信義區六合里松仁路228巷1 ~ 30號
153,汽車竊盜,1050728,22~24,台北市萬華區柳鄉里3鄰桂林路246巷
154,汽車竊盜,1050729,16~18,台北市內湖區東湖路121 ~ 150號
155,汽車竊盜,1050731,04~06,台北市北投區八仙里大度路151 ~ 180號
156,汽車竊盜,1050802,19~21,台北市文山區景美里羅斯福路6段331 ~ 360號
157,汽車竊盜,1050803,10~12,台北市士林區永倫里通河西街2段181 ~ 210號
158,汽車竊盜,1050808,01~03,台北市松山區濱江街841 ~ 870號
159,汽車竊盜,1050808,13~15,台北市萬華區環河南路2段241 ~ 270號
160,汽車竊盜,1050809,10~12,台北市北投區中和里大屯路21巷2弄1 ~ 30號
161,汽車竊盜,1050812,01~03,台北市士林區富洲里延平北路8段181 ~ 210號
162,汽車竊盜,1050812,07~09,台北市文山區萬興里031鄰新光路2段91 ~ 120號
163,汽車竊盜,1050814,10~12,台北市萬華區艋舺大道260巷
164,汽車竊盜,1050814,10~12,台北市萬華區西園路2段1 ~ 30號
165,汽車竊盜,1050815,01~03,台北市萬華區華中河濱公園
166,汽車竊盜,1050815,10~12,台北市北投區奇岩里磺港路151 ~ 180號
167,汽車竊盜,1050821,10~12,台北市士林區福安里延平北路7段177巷
168,汽車竊盜,1050824,04~06,台北市士林區翠山里中社路1段11巷61 ~ 90號
169,汽車竊盜,1050826,01~03,台北市士林區社子里通河西街1 ~ 30號
170,汽車竊盜,1050828,22~24,台北市大安區住安里四維路91 ~ 120號
171,汽車竊盜,1050831,01~03,台北市萬華區武昌街2段91 ~ 120號
172,汽車竊盜,1050831,22~24,台北市士林區社子里2鄰通河西街2段1 ~ 30號
173,汽車竊盜,1050904,10~12,台北市士林區永倫里延平北路6段481 ~ 510號
174,汽車竊盜,1050904,13~15,台北市北投區稻香里稻香路181 ~ 210號
175,汽車竊盜,1050910,01~03,台北市內湖區康樂街136巷29弄31 ~ 60號
176,汽車竊盜,1050911,01~03,台北市北投區關渡里知行路292巷14弄
177,汽車竊盜,1050921,04~06,台北市萬華區東園街121 ~ 150號
178,汽車竊盜,1050921,13~15,台北市萬華區環河南路1段61 ~ 90號
179,汽車竊盜,1050929,01~03,台北市萬華區康定路61 ~ 90號
180,汽車竊盜,1050929,07~09,台北市內湖區成功路2段406巷
181,汽車竊盜,1051002,13~15,台北市松山區民族東路751 ~ 780號
182,汽車竊盜,1051004,19~21,台北市文山區木新里034鄰木新路2段161巷1 ~ 30號
183,汽車竊盜,1051010,01~03,台北市北投區豐年里中央北路2段257巷
184,汽車竊盜,1051020,19~21,台北市士林區葫東里通河西街1段61 ~ 90號
185,汽車竊盜,1051024,10~12,台北市大安區黎元里臥龍街181 ~ 210號
186,汽車竊盜,1051027,04~06,台北市萬華區萬大路391 ~ 420號
187,汽車竊盜,1051106,13~15,台北市南港區中研里研究院路2段150巷口
188,汽車竊盜,1051107,10~12,台北市北投區豐年里大業路527巷第1 ~ 30號
189,汽車竊盜,1051108,16~18,台北市北投區清江里三合街2段與大業路口
190,汽車竊盜,1051115,04~06,台北市士林區葫東里重慶北路4段181 ~ 210號
191,汽車竊盜,1051116,04~06,台北市內湖區安康路28之1 ~ 30號
192,汽車竊盜,1051208,10~12,台北市北投區關渡里知行路316巷61 ~ 90號
193,汽車竊盜,1051209,22~24,台北市北投區豐年里大業路527巷內
194,汽車竊盜,1051216,22~24,台北市中山區林森北路451 ~ 480號
195,汽車竊盜,1051218,04~06,台北市北投區關渡里知行路151 ~ 180號
196,汽車竊盜,1051218,07~09,台北市北投區豐年里大業路527巷第1 ~ 30號
197,汽車竊盜,1051220,07~09,台北市萬華區糖?里大理街151 ~ 180號
198,汽車竊盜,1051222,22~24,台北市大安區黎和里和平東路3段636巷
199,汽車竊盜,1051224,22~24,台北市萬華區大理街175巷
200,汽車竊盜,1051226,04~06,台北市北投區泉源里珠海路121 ~ 150號
201,汽車竊盜,1051226,07~09,台北市大同區保安里延平北路4段接五段停車格
202,汽車竊盜,1060106,07~09,台北市北投區溫泉里溫泉路121 ~ 150號
203,汽車竊盜,1060112,19~21,台北市北投區林泉里溫泉路121 ~ 150號
204,汽車竊盜,1060122,01~03,台北市中山區中山北路1段53巷1 ~ 30號
205,汽車竊盜,1060122,13~15,台北市北投區榮華里東華街1段22巷2弄1 ~ 30號
206,汽車竊盜,1060125,04~06,台北市北投區中央里大業路280巷31 ~ 60號
207,汽車竊盜,1060126,13~15,台北市萬華區桂林路
208,汽車竊盜,1060202,01~03,台北市萬華區內江街
209,汽車竊盜,1060209,16~18,台北市松山區長春路451 ~ 480號
210,汽車竊盜,1060218,04~06,台北市大同區承德路承德橋堤外停車場
211,汽車竊盜,1060223,19~21,台北市中山區民生東路1段23巷
212,汽車竊盜,1060224,10~12,台北市萬華區和平西路3段382巷
213,汽車竊盜,1060228,22~24,台北市北投區關渡里知行路181 ~ 210號
214,汽車竊盜,1060306,07~09,"台北市萬華區貴陽街,下閘道口室"
215,汽車竊盜,1060306,16~18,台北市萬華區萬大路387巷29弄31 ~ 60號
216,汽車竊盜,1060312,01~03,台北市松山區敦化北路331 ~ 360號
217,汽車竊盜,1060314,01~03,台北市北投區大同里中央北路與育仁路口
218,汽車竊盜,1060317,10~12,"台北市萬華區環河南路1段,武昌峨眉室"
219,汽車竊盜,1060317,16~18,台北市北投區豐年里中央北路2段257巷內
220,汽車竊盜,1060322,16~18,台北市北投區大同里北投路1段91巷1 ~ 30號
221,汽車竊盜,1060329,01~03,台北市士林區福林里福林路254巷第1 ~ 30號
222,汽車竊盜,1060403,10~12,台北市大安區龍坡里辛亥路1段121 ~ 150號
223,汽車竊盜,1060411,13~15,台北市北投區豐年里大業路421 ~ 450號
224,汽車竊盜,1060412,01~03,台北市大同區保安里高速公路橋下1 ~ 30號
225,汽車竊盜,1060412,10~12,台北市文山區景慶里景福街底278公車總站旁
226,汽車竊盜,1060416,07~09,台北市中山區大佳河濱公園481 ~ 510號
227,汽車竊盜,1060418,10~12,台北市北投區桃源里中央北路3段276巷1 ~ 30號
228,汽車竊盜,1060503,16~18,台北市大同區永樂里長安西路塔城街
229,汽車竊盜,1060505,07~09,台北市萬華區東園街121 ~ 150號
230,汽車竊盜,1060506,07~09,台北市北投區泉源里登山路31 ~ 60號
231,汽車竊盜,1060506,19~21,台北市士林區福安里延平北路7段31 ~ 60號
232,汽車竊盜,1060510,04~06,台北市北投區東華里立農街2段151 ~ 180號
233,汽車竊盜,1060513,22~24,台北市士林區蘭興里磺溪街241 ~ 270號
234,汽車竊盜,1060528,01~03,台北市士林區永倫里通河西街211 ~ 240號
235,汽車竊盜,1060531,13~15,台北市士林區芝山里芝玉路91 ~ 120號
236,汽車竊盜,1060603,07~09,台北市士林區福安里延平北路7段1 ~ 30號
237,汽車竊盜,1060606,07~09,台北市北投區湖山里湖山路2段1 ~ 30號
238,汽車竊盜,1060610,10~12,台北市信義區三犁里松德路307巷口
239,汽車竊盜,1060610,13~15,台北市萬華區環河南路堤外防洪道1 ~ 30號
240,汽車竊盜,1060618,04~06,台北市內湖區成功路二段193巷內
241,汽車竊盜,1060619,07~09,台北市士林區前港里劍潭路55巷18弄1 ~ 30號
242,汽車竊盜,1060619,07~09,台北市南港區忠孝東路7段124巷17弄31 ~ 60號
243,汽車竊盜,1060620,16~18,台北市內湖區潭美街上
244,汽車竊盜,1060627,13~15,台北市士林區名山里至誠路2段51巷
245,汽車竊盜,1060705,07~09,台北市大同區老師里環河北路2段汙水處理廠旁停車格
246,汽車竊盜,1060710,07~09,台北市大同區光能里承德路2段109巷
247,汽車竊盜,1060710,19~21,台北市大同區承德路2段121 ~ 150號
