PropName,BladeName,Family,B,D,P,J,N,CT,CP,eta
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.663937,24054.0,0.012111,0.047044,0.170921
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.690602,24054.0,0.004182,0.04453,0.064856
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.717432,24054.0,-0.004537,0.041707,-0.078051
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.74829,24054.0,-0.014551,0.038621,-0.281936
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.769998,24054.0,-0.021223,0.036792,-0.4442
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.800807,24054.0,-0.030876,0.034154,-0.724067
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.8239,24054.0,-0.038607,0.031914,-0.996768
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.102293,4991.0,0.050318,0.020761,0.247921
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.154985,4991.0,0.044017,0.019764,0.345175
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.208525,4991.0,0.036595,0.018359,0.415657
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.259435,4991.0,0.02901,0.017072,0.440849
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.312031,4991.0,0.020296,0.015771,0.401541
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.364297,4991.0,0.01053,0.014265,0.26888
vp 140.0x45.0 - 2,vp 140.0x45.0,vp,2,5.511811023622047,1.7716535433070868,0.413795,4991.0,0.000112,0.012582,0.00368
